Type,?,slug,typeOut,type1,param1,p1_uri,type2,param2,p2_uri,type3,param3,p3_uri,type4,param4,p4_uri,type5,param5,p5_uri,type6,param6,p6_uri,seeAlso,url
Controls,,isNull,bool,any,e,any_e,,,,,,,,,,,,,,,,,
Controls,,isNumeric,bool,any,e,any_e,,,,,,,,,,,,,,,,,
Other,,jsonize,string,any,value,any_e,,,,,,,,,,,,,,,,,
String,,toNumber,decimal,any,o,any_e,,,,,,,,,,,,,,,,,
String,,toString,string,any,value,any_e,,,,,,,,,,,,,,,,,
Other,,type,string,any,o,any_e,,,,,,,,,,,,,,,,,
Other,,coalesce,any,any,o1,any_rep_e,any,o2,,any,o3,,any,o4,,any,o5,,any,o6,,,
Array,,length,int,array,a,array_a,,,,,,,,,,,,,,,,,
Array,,reverse,array,array,a,array_a,,,,,,,,,,,,,,,,,
Array,,sort,array,array ,a,array_a,,,,,,,,,,,,,,,,,
Math,,sum,decimal,array,a,array_a,,,,,,,,,,,,,,,,,https://github.com/OpenRefine/OpenRefine/wiki/GREL-Math-Functions#sumarray-a
Array,,uniques,array,array,a,array_a,,,,,,,,,,,,,,,,,
String,D,indexOf,number,string,s,,string,sub,,,,,,,,,,,,,,,https://github.com/OpenRefine/OpenRefine/wiki/GREL-String-Functions#indexofstring-s-string-sub-1
Boolean,,not,bool,bool,b,bool_b,,,,,,,,,,,,,,,,,
Math,,ceil,int,decimal,d,dec_n,,,,,,,,,,,,,,,,,
Math,,exp,decimal,decimal,d,dec_n,,,,,,,,,,,,,,,,,
Math,,floor,int,decimal,d,dec_n,,,,,,,,,,,,,,,,,
Math,,ln,decimal,decimal,d,dec_n,,,,,,,,,,,,,,,,,
Math,,log,decimal,decimal,d,dec_n,,,,,,,,,,,,,,,,,
Math,,round,int,decimal,d,dec_n,,,,,,,,,,,,,,,,,
String,,mqlKeyUnquote,string,string,key,string_key,,,,,,,,,,,,,,,,,
String,,fingerprint,string,string,s,string_s,,,,,,,,,,,,,,,,,
String,,length,int,string,s,string_s,,,,,,,,,,,,,,,,,
String,,md5,string,string,s,string_s,,,,,,,,,,,,,,,,,
String,,mqlKeyQuote,string,string,s,string_s,,,,,,,,,,,,,,,,,
Other,,parseHtml,element,string,s,string_s,,,,,,,,,,,,,,,,,
Other,,parseJson,any,string,s,string_s,,,,,,,,,,,,,,,,,
String,,sha1,string,string,s,string_s,,,,,,,,,,,,,,,,,
String,,splitByCharType,array,string,s,string_s,,,,,,,,,,,,,,,,,
String,,strip,string,string,s,string_s,,,,,,,,,,,,,,,,,
String,,toLowercase,string,string,s,string_s,,,,,,,,,,,,,,,,,
String,,toTitlecase,string,string,s,string_s,,,,,,,,,,,,,,,,,
String,,toUppercase,string,string,s,string_s,,,,,,,,,,,,,,,,,
String,,trim,string,string,s,string_s,,,,,,,,,,,,,,,,,
String,,unicode,array,string,s,string_s,,,,,,,,,,,,,,,,,
String,,unicodeType,array,string,s,string_s,,,,,,,,,,,,,,,,,
Other,,cross,array,cell,c,,string,projectName,,string,columnName,,,,,,,,,,,,
Other,,facetCount,int,any,choiceValue,,string,facetExpression,,string,columnName,,,,,,,,,,,,https://github.com/OpenRefine/OpenRefine/wiki/GREL-Other-Functions#facetcountchoicevalue-string-facetexpression-string-columnname
Other,,htmlAttr,any,element,e,,string,s,,,,,,,,,,,,,,,
Other,,htmlText,string,element,e,,,,,,,,,,,,,,,,,,
Other,,innerHtml,string,element,e,,,,,,,,,,,,,,,,,,
Date,,now,datetime,,,,,,,,,,,,,,,,,,,,
Other,,outerHtml,string,element,e,,,,,,,,,,,,,,,,,,
Other,,ownText,string,element,e,,,,,,,,,,,,,,,,,,
Other,,select,element,element,e,,string,s,,,,,,,,,,,,,,,
