param type,param name,name,pred,?,req,rep,comment
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,s,string_s,param_s,2,,,
string,sep,string_sep,param_sep,2,,,
string,sep,string_sep,param_sep,2,,,
string/regexp,sep,string_sep,param_sep,2,,,
string?,sep,string_opt_sep,param_opt_sep,2,,,
int,step,int_i_step,param_step,2,,,
string,sub,string_sub,param_sub,2,,,
string,sub,string_sub,param_sub,2,,,
string,sub,string_sub,param_sub,2,,,
string,sub,string_sub,param_sub,2,,,
string,sub,string_sub,param_sub,2,,,
string,timeUnit,string_time_unit,param_time_unit,2,,,
int,to,int_i_to,param_to,2,,,
int?,to,int_i_opt_to,param_opt_to,2,Y,,
int?,to,int_i_opt_to,param_opt_to,2,Y,,
int?,to,int_i_opt_to,param_opt_to,2,Y,,
int?,to,int_i_opt_to,param_opt_to,2,Y,,
int?,to,int_i_opt_to,param_opt_to,2,Y,,
string,unit,string_unit,param_unit,2,,,
string,unit,string_unit,param_unit,2,,,
URI,v,uri_value,param_value,2,,,
URI,v,uri_value,param_value,2,,,
URI,v,uri_value,param_value,2,,,
URI,v,uri_value,param_value,2,,,
URI,v,uri_value,param_value,2,,,
URI,v,uri_value,param_value,2,,,
any,value,any_e,param_e,2,,,
any,value,any_e,param_e,2,,,
decimal,value,dec_n,param_n,2,,,
